SEGMENT_KEY,CORRIDOR,CORR_MP_FLOAT,CORR_ENDMP_FLOAT,DEPT_ID,SEC_LNT_MI,SIGNED_ROUTE,TOTAL_CRASHES,AVG_CRASHES,PER_100M_VMT,TYC_AADT
C005809_004+0.975_006+0.377_S-229,C005809,4.975,6.377,S-229,1.401,S-229,22,4.4,152.47711577703285,5640.0
C005807_001+0.782_002+0.010_N-127,C005807,1.782,2.01,N-127,0.228,BR I-15,7,1.4,117.02161851228404,14368.0
C005807_000+0.903_001+0.222_N-127,C005807,0.903,1.222,N-127,0.319,BR I-15,10,2.0,100.1666305354612,17139.0
C005807_000+0.418_000+0.903_N-127,C005807,0.418,0.903,N-127,0.485,BR I-15,22,4.4,141.9846512320264,17496.0
C005250_000+0.000_000+0.536_N-105,C005250,0.0,0.536,N-105,0.536,,20,4.0,227.93028220420672,8965.25
C005218_002+0.527_002+0.612_N-126,C005218,2.527,2.612,N-126,0.085,BR I-15,5,1.0,562.7464263083639,5724.5
C005218_002+0.283_002+0.527_N-126,C005218,2.283,2.527,N-126,0.244,BR I-15,41,8.2,1607.5174554792197,5724.5
C005211_000+0.859_001+0.351_N-104,C005211,0.859,1.351,N-104,0.496,,7,1.4,154.22767057473433,5011.333333333333
C005211_000+0.773_000+0.859_N-104,C005211,0.773,0.859,N-104,0.086,,5,1.0,622.6926691352255,5113.25
C005211_000+0.509_000+0.773_N-104,C005211,0.509,0.773,N-104,0.264,,13,2.6,334.4272035558935,8063.75
C005211_000+0.338_000+0.509_N-104,C005211,0.338,0.509,N-104,0.171,,60,12.0,1104.9809347142016,17390.0
C005210_002+0.843_002+0.922_N-103,C005210,2.843,2.922,N-103,0.079,BR I-15,2,0.4,198.72338221330213,6976.75
C005210_002+0.597_002+0.843_N-103,C005210,2.597,2.843,N-103,0.247,BR I-15,16,3.2,508.4744030720929,6976.75
C005210_002+0.191_002+0.433_N-103,C005210,2.191,2.433,N-103,0.242,BR I-15,25,5.0,781.0761777452523,7243.2
C005210_002+0.105_002+0.191_N-103,C005210,2.105,2.191,N-103,0.086,BR I-15,22,4.4,1852.5606106654825,7562.25
C005210_001+0.606_001+0.780_N-103,C005210,1.6059999999999999,1.78,N-103,0.174,BR I-15,72,14.4,1440.2680580821127,15734.0
C005210_001+0.265_001+0.606_N-103,C005210,1.2650000000000001,1.6059999999999999,N-103,0.341,BR I-15,56,11.2,359.6067752748878,25009.5
C005210_001+0.022_001+0.265_N-103,C005210,1.022,1.2650000000000001,N-103,0.243,BR I-15,44,8.8,620.2669695405469,15987.0
C005210_000+0.230_000+0.779_N-103,C005210,0.23,0.779,N-103,0.549,BR I-15,13,2.6,108.18498158324684,11986.8
C005210_000+0.041_000+0.159_N-103,C005210,0.041,0.159,N-103,0.118,BR I-15,2,0.4,72.78524850683638,12752.75
C005210_000+0.000_000+0.041_N-103,C005210,0.0,0.041,N-103,0.041,BR I-15,1,0.2,104.73974785130113,12752.75
C005208_000+0.619_000+0.696_N-124,C005208,0.619,0.696,N-124,0.077,BR I-15,15,3.0,5832.920472741251,1829.0
C005206_001+0.764_002+0.522_N-123,C005206,1.764,2.5220000000000002,N-123,0.758,,8,1.6,65.0834196264835,8880.75
C005206_001+0.419_001+0.764_N-123,C005206,1.419,1.764,N-123,0.345,,2,0.4,45.07513368660643,7043.25
C005206_000+0.475_001+0.276_N-123,C005206,0.475,1.276,N-123,0.801,,19,3.8,164.7996679255466,7882.5
C005206_000+0.131_000+0.475_N-123,C005206,0.131,0.475,N-123,0.344,,8,1.6,191.47460214722645,6651.5
C005205_007+0.845_008+0.422_N-102,C005205,7.845,8.422,N-102,0.576,,6,1.2,55.51597685859585,10275.666666666666
C005205_007+0.469_007+0.845_N-102,C005205,7.469,7.845,N-102,0.376,,11,2.2,158.11243403011673,10133.0
C005205_007+0.464_007+0.469_N-102,C005205,7.464,7.469,N-102,0.005,,0,0.0,0.0,6966.75
C005205_006+0.797_007+0.464_N-102,C005205,6.797,7.464,N-102,0.657,,4,0.8,47.85900026284923,6966.75
C005205_005+0.201_005+0.429_N-102,C005205,5.201,5.429,N-102,0.228,,7,1.4,147.39779212628181,11407.0
C005205_004+0.274_005+0.201_N-102,C005205,4.274,5.201,N-102,0.927,,19,3.8,95.13227715995167,11799.0
C005205_003+0.421_004+0.274_N-102,C005205,3.421,4.274,N-102,0.851,,50,10.0,214.27829446355912,15016.25
C005205_002+0.912_003+0.418_N-102,C005205,2.912,3.418,N-102,0.504,,9,1.8,90.831535310981,10766.5
C005203_001+0.796_002+0.210_N-101,C005203,1.796,2.21,N-101,0.411,,63,12.6,336.7556367866919,24927.75
C005203_001+0.376_001+0.796_N-101,C005203,1.376,1.796,N-101,0.42,,66,13.2,511.81896185354424,16814.25
C005203_000+0.673_001+0.083_N-101,C005203,0.673,1.083,N-101,0.411,,17,3.4,149.36821260733197,15165.2
C005201_001+0.022_001+0.290_N-122,C005201,1.022,1.29,N-122,0.268,,5,1.0,82.95923849185064,12316.0
C005201_000+0.818_001+0.022_N-122,C005201,0.818,1.022,N-122,0.204,,5,1.0,93.73703450429569,14319.5
C005201_000+0.000_000+0.527_N-122,C005201,0.0,0.527,N-122,0.527,,32,6.4,231.09142577442023,14389.8
C005206_002+0.666_003+0.202_N-123,C005206,2.666,3.202,N-123,0.537,,34,6.8,253.2704654865729,13690.5
C001806_000+0.000_000+0.254_N-121,C001806,0.0,0.254,N-121,0.254,,23,4.6,578.8750844031836,8566.6
C001805_000+0.746_000+0.790_N-120,C001805,0.746,0.79,N-120,0.044,BR I-15/90,5,1.0,459.92462254887687,13531.0
C001805_000+0.000_000+0.393_N-120,C001805,0.0,0.393,N-120,0.393,BR I-15/90,40,8.0,320.69940554697587,17380.75
C005211_000+0.000_000+0.338_N-104,C005211,0.0,0.338,N-104,0.338,,34,6.8,383.4648682042842,14366.0
C001207_001+0.730_002+0.935_P-118,C001207,1.73,2.935,P-118,1.205,S-570,1,0.2,7.545696213730892,6023.0
C001207_000+0.070_000+0.255_N-118,C001207,0.07,0.255,N-118,0.185,BR I-90,0,0.0,0.0,14184.0
C001201_002+0.795_002+0.999_N-412,C001201,2.795,2.999,N-412,0.204,,1,0.2,9.386978097342602,28598.5
C001201_001+0.509_002+0.039_N-412,C001201,1.509,2.039,N-412,0.532,,0,0.0,0.0,23808.0
C001201_000+0.815_001+0.509_N-412,C001201,0.815,1.509,N-412,0.692,,1,0.2,2.43729164601843,32470.25
C001201_000+0.726_000+0.815_N-412,C001201,0.726,0.815,N-412,0.09,,0,0.0,0.0,23085.5
C001031_004+0.051_004+0.374_N-116,C001031,4.051,4.374,N-116,0.323,,5,1.0,71.98640283620657,11776.5
C001031_003+0.046_004+0.051_N-116,C001031,3.046,4.051,N-116,1.005,,85,17.0,352.22999607636507,13150.0
C001030_001+0.083_001+0.372_N-115,C001030,1.083,1.3719999999999999,N-115,0.289,BR I-90,27,5.4,691.3830953235698,7400.25
C001030_000+0.725_001+0.083_N-115,C001030,0.725,1.083,N-115,0.359,BR I-90,11,2.2,202.5739454710927,8283.5
C001022_001+0.437_001+0.796_N-114,C001022,1.437,1.796,N-114,0.359,,6,1.2,116.13072804390924,7881.5
C001022_000+0.762_001+0.437_N-114,C001022,0.762,1.437,N-114,0.675,,30,6.0,305.0098167409518,7980.0
C001022_000+0.154_000+0.390_N-114,C001022,0.154,0.39,N-114,0.236,,2,0.4,76.6483961928619,6055.0
C001020_003+0.610_003+0.899_N-113,C001020,3.61,3.899,N-113,0.288,BR I-90,52,10.4,879.3078852378324,11245.25
C001020_003+0.393_003+0.610_N-113,C001020,3.393,3.61,N-113,0.217,BR I-90,50,10.0,1427.559045095859,8839.25
C001020_002+0.630_002+0.902_N-113,C001020,2.63,2.902,N-113,0.271,BR I-90,5,1.0,45.880005519085714,22023.0
C005205_003+0.418_003+0.421_N-102,C005205,3.418,3.421,N-102,0.003,,1,0.2,1695.5219924716448,10766.5
C001020_001+0.565_002+0.152_N-113,C001020,1.565,2.152,N-113,0.587,BR I-90,27,5.4,149.01392078308703,16904.333333333332
C001017_000+0.000_000+0.099_N-112,C001017,0.0,0.099,N-112,0.099,,8,1.6,271.4312536346681,16304.0
C001010_002+0.966_003+0.104_N-111,C001010,2.966,3.104,N-111,0.137,,5,1.0,77.95564722743309,25639.0
C001010_002+0.568_002+0.878_N-111,C001010,2.568,2.878,N-111,0.309,,5,1.0,21.606079880650015,41014.25
C001010_002+0.020_002+0.568_N-111,C001010,2.02,2.568,N-111,0.548,,146,29.2,504.073909419623,28945.25
C001010_001+0.416_002+0.020_N-111,C001010,1.416,2.02,N-111,0.604,,57,11.4,181.36012709958504,28496.75
C001010_001+0.139_001+0.416_N-111,C001010,1.139,1.416,N-111,0.276,,21,4.2,146.22246708181643,28496.75
C001010_001+0.022_001+0.139_N-111,C001010,1.022,1.139,N-111,0.117,,2,0.4,32.85095719542641,28496.75
C000574_009+0.521_010+0.975_S-574,C000574,9.521,10.975,S-574,1.453,S-574,2,0.4,145.6643428943293,517.5
C000574_007+0.344_008+0.506_S-574,C000574,7.344,8.506,S-574,1.161,S-574,5,1.0,149.21587631774582,1580.6
C000574_006+0.260_007+0.344_S-574,C000574,6.26,7.344,S-574,1.084,S-574,16,3.2,290.7042685885995,2780.6
C000574_003+0.728_006+0.260_S-574,C000574,3.7279999999999998,6.26,S-574,2.532,S-574,7,1.4,103.94252433898015,1456.6
C000572_000+0.000_001+0.753_S-572,C000572,0.0,1.7530000000000001,S-572,1.751,S-572,4,0.8,157.62856843549767,793.6666666666666
C000568_000+1.092_002+0.299_S-568,C000568,1.092,2.299,S-568,1.583,S-568,2,0.4,809.249039994945,85.5
C000567_030+0.398_035+1.420_S-567,C000567,30.398,36.42,S-567,5.954,S-567,3,0.6,132.45028239503958,208.33333333333334
C000567_002+0.412_006+0.515_S-567,C000567,2.412,6.515,S-567,4.165,S-567,2,0.4,56.767371915851484,463.25
C000566_041+0.692_051+0.888_S-566,C000566,41.692,51.888,S-566,10.176,S-566,0,0.0,0.0,28.666666666666668
C000566_018+0.049_024+0.489_S-566,C000566,18.049,24.489,S-566,6.428,S-566,1,0.2,139.66690961632486,61.0
C000566_000+0.000_018+0.049_S-566,C000566,0.0,18.049,S-566,18.018,S-566,3,0.6,134.8861015607615,67.6
C000565_003+0.160_007+0.175_S-565,C000565,3.16,7.175,S-565,3.998,S-565,3,0.6,105.63992651050056,389.0
C000559_000+0.000_003+0.118_S-559,C000559,0.0,3.118,S-559,3.109,S-559,7,1.4,227.60281272264783,541.75
C000556_037+0.521_044+0.088_S-556,C000556,37.521,44.088,S-556,6.557,S-556,0,0.0,0.0,70.0
C000556_028+0.991_036+0.540_S-556,C000556,28.991,36.54,S-556,7.536,S-556,1,0.2,132.12823922948732,55.0
C000556_016+0.956_028+0.991_S-556,C000556,16.956,28.991,S-556,11.982,S-556,0,0.0,0.0,38.75
C000556_006+0.345_016+0.956_S-556,C000556,6.345,16.956,S-556,10.656,S-556,4,0.8,663.1370797713588,31.0
C000556_000+0.000_006+0.345_S-556,C000556,0.0,6.345,S-556,6.426,S-556,3,0.6,147.78612337839385,173.0
C000552_017+0.000_028+0.791_S-552,C000552,17.0,28.791,S-552,11.784,S-552,1,0.2,208.87019762404137,22.25
C000551_001+0.127_006+0.519_S-551,C000551,1.127,6.519,S-551,5.388,S-551,4,0.8,434.05680155852787,93.66666666666667
C000547_000+0.000_002+0.777_S-547,C000547,0.0,2.777,S-547,2.774,S-547,0,0.0,0.0,175.0
C000544_031+0.947_032+0.427_S-544,C000544,31.947,32.427,S-544,0.477,S-544,0,0.0,0.0,50.666666666666664
C000544_031+0.241_031+0.947_S-544,C000544,31.241,31.947,S-544,0.706,S-544,0,0.0,0.0,46.75
C000544_000+0.000_013+0.100_S-544,C000544,0.0,13.1,S-544,13.077,S-544,0,0.0,0.0,132.0
C000543_000+0.000_007+0.209_S-543,C000543,0.0,7.209,S-543,7.191,S-543,1,0.2,86.54206741355657,88.0
C000541_000+0.000_009+0.041_S-541,C000541,0.0,9.041,S-541,8.957,S-541,1,0.2,52.890639549124074,115.6
C000540_012+0.158_024+0.759_S-540,C000540,12.158,24.759,S-540,12.613,S-540,33,6.6,173.25639010888372,827.0
C000540_005+0.699_011+0.404_S-540,C000540,5.699,11.404,S-540,5.711,S-540,7,1.4,288.09066470689066,233.0
C000540_000+0.000_005+0.699_S-540,C000540,0.0,5.699,S-540,5.574,S-540,1,0.2,63.38705348083603,155.0
C000537_007+0.445_023+0.105_S-537,C000537,7.445,23.105,S-537,15.658,S-537,1,0.2,127.95885356469671,27.333333333333332
C000537_000+0.000_007+0.445_S-537,C000537,0.0,7.445,S-537,7.474,S-537,2,0.4,113.8227020705314,128.75
C000565_001+0.772_002+0.061_S-565,C000565,1.772,2.061,S-565,0.327,S-565,0,0.0,0.0,468.0
C000534_027+0.752_027+0.896_S-534,C000534,27.752,27.896,S-534,0.144,S-534,0,0.0,0.0,1466.0
C000534_010+0.723_025+0.156_S-534,C000534,10.723,25.156,S-534,14.435,S-534,4,0.8,265.0738823285248,57.25
C000534_000+0.000_010+0.723_S-534,C000534,0.0,10.723,S-534,10.724,S-534,2,0.4,195.47270477108233,52.25
C000532_015+0.613_016+0.357_S-532,C000532,15.613,16.357,S-532,0.745,S-532,11,2.2,103.91024405609441,7781.75
C000532_014+0.623_015+0.613_S-532,C000532,14.623,15.613,S-532,0.991,S-532,12,2.4,111.95678569818378,5923.2
C000532_013+0.650_014+0.623_S-532,C000532,13.65,14.623,S-532,0.972,S-532,14,2.8,168.67987726741285,4676.25
C000532_012+0.650_013+0.650_S-532,C000532,12.65,13.65,S-532,0.997,S-532,7,1.4,249.59760044226496,1540.5
C000532_010+0.804_012+0.650_S-532,C000532,10.804,12.65,S-532,1.858,S-532,7,1.4,256.4634668491252,804.5
C000532_007+0.923_010+0.804_S-532,C000532,7.923,10.804,S-532,2.767,S-532,3,0.6,70.85447814789273,838.0
C000532_003+0.366_007+0.923_S-532,C000532,3.366,7.923,S-532,4.533,S-532,5,1.0,76.80416732874355,786.5
C000534_026+0.909_027+0.391_S-534,C000534,26.909,27.391,S-534,0.481,S-534,0,0.0,0.0,614.25
C000529_000+0.000_001+0.965_S-529,C000529,0.0,1.9649999999999999,S-529,1.958,S-529,0,0.0,0.0,238.25
C000528_000+0.000_006+0.871_S-528,C000528,0.0,6.871,S-528,6.766,S-528,1,0.2,35.11529357636588,230.5
C000522_000+0.000_000+0.045_P-266,C000522,0.0,0.045,P-266,0.045,S-522,2,0.4,590.1268850994777,4124.5
C000518_002+0.632_003+0.296_S-518,C000518,2.632,3.296,S-518,0.629,S-518,7,1.4,309.7646680423861,1967.5
C000518_000+0.000_000+0.047_S-518,C000518,0.0,0.047,S-518,0.047,S-518,1,0.2,225.43214426237014,5168.75
C000513_000+0.000_009+0.676_S-513,C000513,0.0,9.676,S-513,9.664,S-513,2,0.4,70.39574754719817,161.0
C000511_006+0.596_011+0.610_S-511,C000511,6.596,11.61,S-511,5.008,S-511,0,0.0,0.0,29.2
C000511_006+0.449_006+0.596_S-511,C000511,6.449,6.596,S-511,0.147,S-511,0,0.0,0.0,93.75
C000511_003+0.555_006+0.449_S-511,C000511,3.555,6.449,S-511,2.894,S-511,0,0.0,0.0,125.25
C000509_024+0.822_037+0.500_S-509,C000509,24.822,37.5,S-509,12.677,S-509,0,0.0,0.0,59.0
C000509_000+0.286_010+0.784_S-509,C000509,0.286,10.784,S-509,10.498,S-509,1,0.2,79.94883549552281,65.25
C000508_012+0.795_020+0.899_S-508,C000508,12.795,20.899,S-508,7.876,S-508,4,0.8,109.50143083110636,254.0
C000508_000+0.000_012+0.795_S-508,C000508,0.0,12.795,S-508,12.807,S-508,11,2.2,117.30057197799927,401.0
C000507_002+0.502_002+0.533_S-507,C000507,2.502,2.533,S-507,0.031,BR I-90/S-507,0,0.0,0.0,726.3333333333334
C000507_002+0.215_002+0.502_S-507,C000507,2.215,2.502,S-507,0.287,BR I-90/S-507,0,0.0,0.0,753.0
C000507_002+0.170_002+0.215_S-507,C000507,2.17,2.215,S-507,0.045,BR I-90/S-507,0,0.0,0.0,753.0
C000507_001+0.005_002+0.170_S-507,C000507,1.005,2.17,S-507,1.15,BR I-90/S-507,0,0.0,0.0,753.0
C000507_000+0.048_000+0.440_S-507,C000507,0.048,0.44,S-507,0.392,BR I-90/S-507,0,0.0,0.0,657.75
C000504_000+0.000_003+0.140_S-504,C000504,0.0,3.14,S-504,3.139,S-504,0,0.0,0.0,34.5
C000503_008+0.022_008+0.784_S-503,C000503,8.022,8.784,S-503,0.762,S-503,6,1.2,323.2508505344054,1334.0
C000503_006+0.242_007+0.335_S-503,C000503,6.242,7.335,S-503,1.095,S-503,2,0.4,137.77755788479539,726.0
C000503_003+0.697_004+0.917_S-503,C000503,3.697,4.917,S-503,1.172,S-503,6,1.2,320.96668455043107,873.5
C001020_002+0.316_002+0.630_N-113,C001020,2.316,2.63,N-113,0.314,BR I-90,5,1.0,42.748943167744706,20399.25
C000500_027+0.312_030+0.471_S-500,C000500,27.312,30.471,S-500,3.161,S-500,0,0.0,0.0,36.25
C000500_018+0.647_027+0.312_S-500,C000500,18.647,27.312,S-500,8.671,S-500,0,0.0,0.0,23.75
C000500_000+0.000_007+0.908_S-500,C000500,0.0,7.908,S-500,7.864,S-500,5,1.0,598.2775984240453,58.2
C000489_005+0.576_016+0.187_S-489,C000489,5.576,16.187,S-489,10.525,S-489,11,2.2,223.57839910711732,256.0
C000487_004+0.126_007+0.224_S-487,C000487,4.126,7.224,S-487,3.107,S-487,26,5.2,284.46954694756965,1611.0
C000486_020+0.119_022+0.638_S-486,C000486,20.119,22.638,S-486,2.517,S-486,3,0.6,167.79834175168108,389.0
C000486_001+0.958_002+0.142_S-486,C000486,1.958,2.142,S-486,0.189,S-486,2,0.4,239.37160339025544,2421.0
C000484_012+0.930_025+0.214_S-484,C000484,12.93,25.214,S-484,12.284,S-484,0,0.0,0.0,40.4
C001030_001+0.588_001+0.734_N-115,C001030,1.588,1.734,N-115,0.146,BR I-90,11,2.2,410.0567382797,10062.25
C000484_000+0.000_003+0.465_S-484,C000484,0.0,3.465,S-484,3.517,S-484,1,0.2,112.22609891382223,138.75
C000480_000+0.817_003+0.082_S-480,C000480,0.817,3.082,S-480,2.266,S-480,1,0.2,205.97661300889848,117.33333333333333
C000478_000+0.000_002+0.049_S-478,C000478,0.0,2.049,S-478,2.045,S-478,2,0.4,99.18412133629973,540.0
C000474_003+0.878_003+1.014_N-474,C000474,3.878,4.014,N-474,0.136,S-474,3,0.6,93.49798529668634,12920.5
C000474_000+0.000_003+0.124_S-474,C000474,0.0,3.124,S-474,2.903,S-474,20,4.0,298.16341676178365,1265.4
C000473_013+0.322_014+0.370_S-473,C000473,13.322,14.37,S-473,1.042,S-473,3,0.6,363.9269277478365,433.25
C000473_000+0.000_003+0.089_S-473,C000473,0.0,3.089,S-473,3.109,S-473,15,3.0,242.6731076004274,1088.8
C000472_007+0.270_019+0.423_S-472,C000472,7.27,19.423,S-472,11.943,S-472,11,2.2,167.85489214484747,300.5
C000472_000+0.000_007+0.270_S-472,C000472,0.0,7.27,S-472,7.272,S-472,13,2.6,202.19197934882342,484.2
C000471_014+0.153_018+0.709_S-471,C000471,14.153,18.709,S-471,4.558,S-471,2,0.4,247.73260380904046,97.0
C000471_010+0.871_014+0.153_S-471,C000471,10.871,14.153,S-471,3.28,S-471,3,0.6,332.8205530093058,150.5
C000471_000+0.000_001+0.496_S-471,C000471,0.0,1.496,S-471,1.498,S-471,12,2.4,344.89075116405456,1272.0
C000571_000+0.000_001+0.169_S-571,C000571,0.0,1.169,S-571,1.168,S-571,21,4.2,711.9565643680826,1383.0
C000470_018+0.049_024+0.040_S-470,C000470,18.049,24.04,S-470,5.989,S-470,0,0.0,0.0,24.666666666666668
C000470_007+0.377_018+0.049_S-470,C000470,7.377,18.049,S-470,10.669,S-470,0,0.0,0.0,13.5
C000467_000+0.000_003+0.005_S-467,C000467,0.0,3.005,S-467,2.996,S-467,0,0.0,0.0,102.2
C000466_000+0.000_002+0.137_S-466,C000466,0.0,2.137,S-466,2.161,S-466,3,0.6,353.064824479652,215.33333333333334
C001020_003+0.899_004+0.255_N-113,C001020,3.899,4.255,N-113,0.356,BR I-90,12,2.4,184.7703932739061,9990.75
C000464_023+1.002_033+0.674_S-464,C000464,24.002,33.674,S-464,9.686,S-464,11,2.2,92.50448800632628,672.3333333333334
C000464_018+0.779_023+1.002_S-464,C000464,18.779,24.002,S-464,5.209,S-464,3,0.6,48.69212210571146,647.75
C000464_010+0.322_018+0.779_S-464,C000464,10.322,18.779,S-464,8.44,S-464,8,1.6,78.88980336195841,658.0
C000464_001+0.300_010+0.322_S-464,C000464,1.3,10.322,S-464,9.011,S-464,7,1.4,38.086503461934605,1117.0
C000464_000+0.344_000+0.785_S-464,C000464,0.344,0.785,S-464,0.442,S-464,1,0.2,25.708395519821156,4819.5
C000464_000+0.000_000+0.344_S-464,C000464,0.0,0.344,S-464,0.344,S-464,1,0.2,25.93834145639739,6137.6
C000463_001+0.607_006+0.083_S-463,C000463,1.607,6.083,S-463,4.433,S-463,1,0.2,29.396374627338872,420.25
C000463_000+0.924_001+0.246_S-463,C000463,0.924,1.246,S-463,0.318,S-463,0,0.0,0.0,847.0
C000463_000+0.056_000+0.800_S-463,C000463,0.056,0.8,S-463,0.744,S-463,1,0.2,120.02970379881098,613.25
C000463_000+0.000_000+0.056_S-463,C000463,0.0,0.056,S-463,0.056,S-463,0,0.0,0.0,613.25
C000462_033+0.346_038+0.473_S-462,C000462,33.346,38.473,S-462,5.121,S-462,0,0.0,0.0,19.5
C000462_002+0.164_018+0.254_S-462,C000462,2.164,18.254,S-462,16.071,S-462,0,0.0,0.0,50.0
C000528_006+0.871_018+0.809_S-528,C000528,6.871,18.809,S-528,11.916,S-528,0,0.0,0.0,74.33333333333333
C000462_000+0.000_002+0.164_S-462,C000462,0.0,2.164,S-462,2.161,S-462,0,0.0,0.0,46.75
C000457_000+0.000_000+0.035_S-457,C000457,0.0,0.035,S-457,0.035,S-457,0,0.0,0.0,73.25
C000454_003+0.153_003+0.330_S-454,C000454,3.153,3.33,S-454,0.177,S-454,0,0.0,0.0,185.0
C000453_000+0.000_001+0.572_S-453,C000453,0.0,1.572,S-453,1.632,S-453,10,2.0,152.18451990751274,2205.0
C000451_034+0.596_038+0.445_S-451,C000451,34.596,38.445,S-451,3.795,S-451,0,0.0,0.0,242.0
C000451_028+0.555_034+0.596_S-451,C000451,28.555,34.596,S-451,5.962,S-451,3,0.6,93.73055301918598,294.0
C000451_015+0.555_024+0.028_S-451,C000451,15.555,24.028,S-451,8.353,S-451,1,0.2,12.013318767435008,545.75
C000449_010+0.588_016+0.599_S-449,C000449,10.588,16.599,S-449,6.011,S-449,0,0.0,0.0,53.0
C000449_000+0.296_000+0.724_S-449,C000449,0.296,0.724,S-449,0.428,S-449,0,0.0,0.0,302.6666666666667
C000449_000+0.000_000+0.296_S-449,C000449,0.0,0.296,S-449,0.296,S-449,0,0.0,0.0,313.6666666666667
C000448_027+0.446_030+0.174_S-448,C000448,27.446,30.174,S-448,2.723,S-448,2,0.4,531.590215467566,75.66666666666667
C000448_004+0.357_016+0.373_S-448,C000448,4.357,16.373,S-448,12.013,S-448,2,0.4,251.51838425998454,36.25
C000447_000+0.034_002+0.086_S-447,C000447,0.034,2.086,S-447,2.042,S-447,0,0.0,0.0,127.0
C000471_001+0.496_003+0.034_S-471,C000471,1.496,3.034,S-471,1.536,S-471,7,1.4,550.3370603794349,453.5
C000446_000+0.056_000+1.025_S-446,C000446,0.056,1.025,S-446,0.969,S-446,0,0.0,0.0,363.25
C000444_009+0.434_019+1.259_S-444,C000444,9.434,20.259,S-444,10.335,S-444,4,0.8,234.63927118649053,90.33333333333333
C000444_000+0.000_009+0.434_S-444,C000444,0.0,9.434,S-444,9.445,S-444,3,0.6,104.78772971452587,166.0
C000441_003+0.159_004+0.380_S-441,C000441,3.159,4.38,S-441,1.186,S-441,3,0.6,319.55578984249865,433.5
C000441_000+0.112_002+0.989_S-441,C000441,0.112,2.989,S-441,2.665,S-441,2,0.4,69.8666746561538,588.25
C000438_020+0.937_031+0.330_S-438,C000438,20.937,31.33,S-438,10.439,S-438,1,0.2,70.89385774737393,74.0
C000567_000+0.434_002+0.412_S-567,C000567,0.434,2.412,S-567,2.046,S-567,4,0.8,95.76609641193147,1118.0
C000438_006+0.108_020+0.937_S-438,C000438,6.108,20.937,S-438,14.806,S-438,3,0.6,102.03601074277977,108.75
C000438_000+0.000_006+0.108_S-438,C000438,0.0,6.108,S-438,6.094,S-438,4,0.8,191.61254278505933,187.6
C000437_005+0.412_008+0.909_S-437,C000437,5.412,8.909,S-437,3.51,S-437,0,0.0,0.0,121.33333333333333
C005210_001+0.780_002+0.105_N-103,C005210,1.78,2.105,N-103,0.324,BR I-15,37,7.4,826.998858464866,7562.25
C000437_000+0.000_005+0.412_S-437,C000437,0.0,5.412,S-437,5.385,S-437,2,0.4,150.88762497165692,134.8
C000435_003+0.684_009+0.781_S-435,C000435,3.684,9.781,S-435,6.092,S-435,0,0.0,0.0,61.8
C000435_000+0.000_003+0.684_S-435,C000435,0.0,3.684,S-435,3.679,S-435,1,0.2,91.09979229068804,163.4
C000434_011+0.630_018+0.131_S-434,C000434,11.63,18.131,S-434,6.458,S-434,7,1.4,421.99570410945387,140.66666666666666
C000434_000+0.000_000+0.028_S-434,C000434,0.0,0.028,S-434,0.028,S-434,0,0.0,0.0,354.5
C000503_007+0.335_008+0.022_S-503,C000503,7.335,8.022,S-503,0.685,S-503,1,0.2,103.85579835095645,769.8
C000432_014+0.994_027+0.652_S-432,C000432,14.994,27.652,S-432,12.529,S-432,1,0.2,54.467541940293934,80.25
C000432_008+0.019_014+0.994_S-432,C000432,8.019,14.994,S-432,6.965,S-432,0,0.0,0.0,86.0
C000430_005+0.312_009+0.088_S-430,C000430,5.312,9.088,S-430,3.802,S-430,19,3.8,106.80832118589991,2562.3333333333335
C000427_002+0.636_005+0.249_S-427,C000427,2.636,5.249,S-427,2.603,S-427,1,0.2,169.327954189487,124.25
C000565_000+0.000_000+0.480_S-565,C000565,0.0,0.48,S-565,0.48,S-565,1,0.2,243.78789439030407,468.0
C000427_000+0.000_002+0.636_S-427,C000427,0.0,2.636,S-427,2.618,S-427,1,0.2,168.357778745315,124.25
C000426_026+0.424_026+0.741_S-426,C000426,26.424,26.741,S-426,0.318,S-426,0,0.0,0.0,435.0
C000426_014+0.350_016+0.914_S-426,C000426,14.35,16.914,S-426,2.562,S-426,1,0.2,181.14989810608077,118.0
C000426_009+0.576_010+0.437_S-426,C000426,9.576,10.437,S-426,0.86,S-426,0,0.0,0.0,80.5
C000426_002+0.125_009+0.576_S-426,C000426,2.125,9.576,S-426,7.437,S-426,0,0.0,0.0,43.5
C000424_013+0.407_017+0.125_S-424,C000424,13.407,17.125,S-424,3.72,S-424,26,5.2,194.69111009360543,1966.0
C000424_002+0.994_003+0.847_S-424,C000424,2.9939999999999998,3.847,S-424,0.857,S-424,5,1.0,124.54215901794888,2565.5
C000422_006+0.196_008+0.269_S-422,C000422,6.196,8.269,S-422,2.071,S-422,1,0.2,111.69381894352982,236.75
C000422_001+0.677_006+0.196_S-422,C000422,1.677,6.196,S-422,4.515,S-422,0,0.0,0.0,60.0
C000541_009+0.041_010+0.743_S-541,C000541,9.041,10.743,S-541,1.736,S-541,0,0.0,0.0,141.33333333333334
C000421_008+0.763_009+0.794_S-421,C000421,8.763,9.794,S-421,1.035,S-421,1,0.2,54.93129774862718,963.25
C000421_002+0.612_008+0.763_S-421,C000421,2.612,8.763,S-421,6.232,S-421,29,5.8,264.56400865292755,963.25
