SEGMENT_KEY,CORRIDOR,CORR_MP_FLOAT,CORR_ENDMP_FLOAT,DEPT_ID,SEC_LNT_MI,SIGNED_ROUTE,TOTAL_CRASHES,AVG_CRASHES,PER_100M_VMT,TYC_AADT
C000313_001+0.409_009+0.925_S-313,C000313,1.409,9.925,S-313,8.456,S-313,10,2.0,64.49000522123205,1004.25
C000024_044+0.558_051+0.330_N-24,C000024,44.558,51.33,N-24,6.774,MT-200,39,7.8,117.41123518914247,2685.4
C000016_004+0.635_004+0.746_N-16,C000016,4.635,4.746,N-16,0.111,BR I-90/US-87,10,2.0,827.0454904867839,5965.5
C000246_000+0.583_003+0.325_S-246,C000246,0.583,3.325,S-246,2.809,S-246,3,0.6,129.04195366639354,453.25
C000016_003+0.642_004+0.511_N-16,C000016,3.642,4.511,N-16,0.961,BR I-90/US-87,48,9.6,153.64261406469225,17803.5
C000516_000+0.000_006+0.011_S-516,C000516,0.0,6.011,S-516,6.009,S-516,0,0.0,0.0,285.5
C000016_002+0.621_003+0.208_N-16,C000016,2.621,3.208,N-16,0.571,BR I-90/US-87,42,8.4,138.72450573984162,29037.5
C000448_016+0.373_027+0.446_S-448,C000448,16.373,27.446,S-448,11.024,S-448,0,0.0,0.0,88.2
C000016_001+0.963_002+0.621_N-16,C000016,1.963,2.621,N-16,0.695,BR I-90/US-87,222,44.4,421.50076831786606,41502.0
C000016_001+0.247_001+0.483_N-16,C000016,1.2469999999999999,1.483,N-16,0.236,BR I-90/US-87,89,17.8,664.6676289350195,31072.25
C000072_010+0.482_016+0.346_P-72,C000072,10.482,16.346,P-72,5.772,MT-72,23,4.6,132.92103535213937,1641.75
C000016_000+0.061_001+0.247_N-16,C000016,0.061,1.2469999999999999,N-16,1.206,BR I-90/US-87,194,38.8,385.62260716525896,22845.0
C000015_385+0.015_389+0.535_I-15,C000015,385.015,389.535,I-15,4.524,I-15,15,3.0,91.21182917251889,1990.75
C000218_008+0.788_015+0.800_S-218,C000218,8.788,15.8,S-218,7.003,S-218,2,0.4,111.51729492216684,140.25
C000015_378+0.968_385+0.015_I-15,C000015,378.968,385.015,I-15,6.042,I-15,9,1.8,41.98442548774985,1943.0
C005210_000+0.779_001+0.022_N-103,C005210,0.779,1.022,N-103,0.243,BR I-15,20,4.0,308.63394503918454,14604.25
C000090_160+0.294_161+0.658_I-90,C000090,160.294,161.658,I-90,1.387,I-90,13,2.6,53.976961735634134,9509.5
C000320_004+0.218_005+0.280_S-320,C000320,4.218,5.28,S-320,1.062,S-320,0,0.0,0.0,39.0
C000015_368+0.978_373+0.008_I-15,C000015,368.978,373.008,I-15,4.015,I-15,12,2.4,79.9998723202038,2046.0
C000015_364+0.397_368+0.978_I-15,C000015,364.397,368.978,I-15,4.6,I-15,8,1.6,46.36934303868414,2054.0
C000015_363+0.210_364+0.397_I-15,C000015,363.21,364.397,I-15,1.185,I-15,4,0.8,90.572814428003,2041.0
C000029_083+0.125_083+0.469_P-29,C000029,83.125,83.469,P-29,0.344,MT-287,2,0.4,122.19066642831017,2605.75
C000015_344+0.994_348+0.018_I-15,C000015,344.994,348.018,I-15,3.022,I-15,25,5.0,150.0657774198165,3019.0
C000022_013+0.104_017+0.855_P-22,C000022,13.104,17.855,P-22,4.74,MT-5,0,0.0,0.0,319.5
C000090_449+0.870_452+0.652_I-90,C000090,449.87,452.652,I-90,2.774,I-90,131,26.2,87.70386807785783,29488.0
C000015_339+0.028_344+0.994_I-15,C000015,339.028,344.994,I-15,5.965,I-15,46,9.2,122.2712289265331,3454.0
C000015_335+0.280_339+0.028_I-15,C000015,335.28,339.028,I-15,3.74,I-15,27,5.4,133.5671556662472,2960.0
C000015_313+0.018_320+0.827_I-15,C000015,313.018,320.827,I-15,7.8,I-15,54,10.8,111.34770436293712,3405.0
C000347_004+0.770_005+0.028_U-602,C000347,4.77,5.028,U-602,0.258,S-347,19,3.8,284.92020496247795,14155.0
C000029_014+0.828_017+0.875_P-29,C000029,14.828,17.875,P-29,3.035,MT-287,7,1.4,109.71573786701018,1151.25
C000015_286+0.413_290+0.374_I-15,C000015,286.413,290.374,I-15,3.959,I-15,39,7.8,59.22534919242573,9109.0
C000340_000+1.007_000+1.091_S-340,C000340,1.007,1.091,S-340,0.084,S-340,0,0.0,0.0,140.66666666666666
C000050_004+0.869_008+0.376_N-50,C000050,4.869,8.376,N-50,3.485,US-191/US-20/US-287,23,4.6,117.82561329477214,3067.5
C000015_277+0.545_278+0.765_I-15,C000015,277.545,278.765,I-15,1.202,I-15,31,6.2,99.52758195569427,14191.0
C000085_006+0.550_006+0.656_N-85,C000085,6.55,6.656,N-85,0.106,MT-85,10,2.0,178.0495382857476,29017.0
C000025_023+0.889_034+0.337_P-25,C000025,23.889,34.337,P-25,10.445,MT-13,6,1.2,38.65903698033837,813.75
C000421_016+0.779_018+0.161_S-421,C000421,16.779,18.161,S-421,1.386,S-421,5,1.0,248.09105494264793,796.3333333333334
C000015_270+0.161_277+0.545_I-15,C000015,270.161,277.545,I-15,7.392,I-15,81,16.2,95.42028134619348,6289.0
C000015_250+0.187_254+0.724_I-15,C000015,250.187,254.724,I-15,4.537,I-15,83,16.6,228.5142193184347,4384.25
C000022_055+0.898_063+0.806_N-22,C000022,55.898,63.806,N-22,7.903,MT-16/MT-5,11,2.2,86.2278713327571,884.0
C000015_240+0.055_243+0.758_I-15,C000015,240.055,243.758,I-15,3.724,I-15,64,12.8,217.24811559828063,4332.25
C000015_239+0.969_240+0.055_I-15,C000015,239.969,240.055,I-15,0.09,I-15,2,0.4,280.91388280833235,4332.25
C001030_000+0.364_000+0.725_N-115,C001030,0.364,0.725,N-115,0.361,BR I-90,26,5.2,273.1244542479351,14441.25
C000057_058+0.732_060+0.728_N-57,C000057,58.732,60.728,N-57,1.923,MT-200/MT-3/US-87,16,3.2,161.81071418899774,2816.0
C000015_228+0.271_233+0.922_I-15,C000015,228.271,233.922,I-15,5.669,I-15,64,12.8,144.11707915143234,4290.0
C000015_216+0.293_218+0.976_I-15,C000015,216.293,218.976,I-15,2.681,I-15,39,7.8,175.93838522406054,4528.0
C000015_208+0.822_216+0.293_I-15,C000015,208.822,216.293,I-15,7.485,I-15,54,10.8,82.20863088850044,4806.0
C000015_199+0.908_208+0.822_I-15,C000015,199.908,208.822,I-15,8.922,I-15,82,16.4,106.16488776451874,4741.0
C000015_218+0.976_226+0.569_I-15,C000015,218.976,226.569,I-15,7.715,I-15,76,15.2,105.59442411511183,5109.0
C000015_194+0.022_199+0.908_I-15,C000015,194.022,199.908,I-15,5.888,I-15,100,20.0,77.67208622036833,11974.75
C000015_193+0.639_194+0.022_I-15,C000015,193.639,194.022,I-15,0.355,I-15,13,2.6,122.09250869131199,16425.75
C000454_000+0.394_001+0.764_S-454,C000454,0.394,1.764,S-454,1.37,S-454,5,1.0,229.60423196601457,870.5
C000018_000+0.530_000+0.772_N-18,C000018,0.53,0.772,N-18,0.242,MT-59,1,0.2,67.5319721950989,3351.0
C000015_193+0.298_193+0.639_I-15,C000015,193.298,193.639,I-15,0.342,I-15,7,1.4,61.842516738969,18125.25
C000285_000+0.000_005+0.729_S-285,C000285,0.0,5.729,S-285,5.743,S-285,5,1.0,148.07254577227124,322.0
C000090_232+0.954_232+0.982_I-90,C000090,232.954,232.982,I-90,0.028,I-90,0,0.0,0.0,10054.0
C000015_191+0.732_193+0.036_I-15,C000015,191.732,193.036,I-15,1.299,I-15,29,5.8,41.27651471576326,29620.0
C000090_274+0.569_277+0.433_I-90,C000090,274.569,277.433,I-90,2.868,I-90,49,9.8,54.560376616941234,17149.0
C000015_181+0.904_187+0.388_I-15,C000015,181.904,187.388,I-15,5.527,I-15,165,33.0,215.85812763588282,7574.0
C000080_009+0.980_020+0.528_P-80,C000080,9.98,20.528,P-80,10.571,MT-80,15,3.0,195.7419480980041,397.0
C000037_053+0.379_060+0.880_N-37,C000037,53.379,60.88,N-37,7.521,US-212,19,3.8,66.57814579369746,2078.0
C000029_088+0.859_088+0.962_N-29,C000029,88.859,88.962,N-29,0.102,MT-41,3,0.6,288.7243484115823,5578.75
C000015_175+0.868_181+0.904_I-15,C000015,175.868,181.904,I-15,6.029,I-15,116,23.2,175.9959500108142,5987.0
C000015_129+0.292_133+0.636_I-15,C000015,129.292,133.636,I-15,4.362,I-15,56,11.2,161.55213650429565,4352.0
